name,link,sizeInMB
39819048.zip,https://drive.google.com/file/d/1OW5YV9lxCkMGgDzYi5ubjTyJLahbJdfW/view?usp=drivesdk,63.99342918
47971065.zip,https://drive.google.com/file/d/1Oq9ksVV_vq2UWIVBzmNICaOaBxiBKrpy/view?usp=drivesdk,57.97093868
51848391.zip,https://drive.google.com/file/d/1JXlOt6CydadszsG0MgvJ19LPK8Tqbz-D/view?usp=drivesdk,1.11979866
51359431.zip,https://drive.google.com/file/d/1OuYB1pVy11qyudqAbgyW_vpkIwi5qj6S/view?usp=drivesdk,9.500313759
48540630.zip,https://drive.google.com/file/d/1Nw49EZquMkgvoRjpProSnuD1jdrCXbWV/view?usp=drivesdk,28.20010662
39079816.zip,https://drive.google.com/file/d/1NzO_duSP7Lh-8RpG3Lj85ZaqsxoEBuQn/view?usp=drivesdk,57.77247334
49796612.zip,https://drive.google.com/file/d/1Jhdg3WQus_sKWACdEQJbnhoyQAEs3chI/view?usp=drivesdk,1.522239685
38110191.zip,https://drive.google.com/file/d/1P-TKNdbScjQotR5Wp28xOL12e-1NnWvE/view?usp=drivesdk,62.73108292
39901815.zip,https://drive.google.com/file/d/1OG9-EXNSNQ-VRDG7zLQWUJmNta0SLlRV/view?usp=drivesdk,6.963133812
32407882.zip,https://drive.google.com/file/d/1f3MCWDaclaI-Wf_1e2RTK3NspnQItCxe/view?usp=drivesdk,1687.092716
27700103.zip,https://drive.google.com/file/d/1eepAuZJIvKRWGASshxOQO3I_ys2POclJ/view?usp=drivesdk,1585.983104
35533061.zip,https://drive.google.com/file/d/1fJTiKtrINSZ_mWj53_k_TyTfHoy7yHDQ/view?usp=drivesdk,891.8483124
32997134.zip,https://drive.google.com/file/d/1fhEuotyWjMSJhrEDl8hL9vq9E2S4u-Ot/view?usp=drivesdk,832.5721407
28768536.zip,https://drive.google.com/file/d/1fT-nPMJymvjWimwJFDx5HygE4e_xOURy/view?usp=drivesdk,917.4249725
28761103.zip,https://drive.google.com/file/d/1cLhuQaKCUuppipnI9z1pKasg9FPVrk4q/view?usp=drivesdk,679.8768101
